s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Location ID,Location City,Location County,Mailing Address,Mailing Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",2618,ARCHBOLD,FULTON,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",2619,DELTA,FULTON,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",3504,NORTH HAMLER,HENRY,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",3507,LIBERTY CTR.,HENRY,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",3511,GERALD,HENRY,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",3522,HAMLER,HENRY,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",6904,GLANDORF,PUTNAM,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERALD GRAIN CENTER, INC.",6917,OTTAWA,PUTNAM,"P.O. BOX 175, 220 N. DEFIANCE ST.",ARCHBOLD OH 43502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GERBER FEED SERVICE, INC.",8506,DALTON,WAYNE,"P.O. BOX 509, 3094 MOSER RD.",DALTON OH 44618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GILBOA ELEVATOR, INC.",6905,GILBOA,PUTNAM,219 PEARL STREET,GILBOA OH 45875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANITE RIDGE FEEDS LLC,8526,APPLE CREEK,WAYNE,2532 SOUTH APPLE CREEK ROAD,APPLE CREEK OH 44606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANVILLE MILLING CO.,4504,GRANVILLE,LICKING,"P.O. BOX 393, 400 S. MAIN ST.",GRANVILLE OH 43023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GRELTON ELEVATOR, INC.",3513,NAPOLEON,HENRY,6944 COUNTY ROAD M,GRELTON OH 43523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GRELTON ELEVATOR, INC.",3520,GRELTON,HENRY,6944 COUNTY ROAD M,GRELTON OH 43523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",1514,NEW WATERFORD,COLUMBIANA,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",1515,LEETONIA,COLUMBIANA,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",3811,BRICKYARD,HOLMES,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",7902,BALTIC,TUSCARAWAS,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",7906,RODENE FARM,TUSCARAWAS,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",7907,ECHO VALLEY,TUSCARAWAS,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GSI CORPORATE HOLDING COMPANY, LLC",8525,DOTTERER FARM,WAYNE,"P.O. BOX 248, 100 S. RAY ST.",BALTIC OH 43804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GUARDIAN LIMA, LLC",219,LIMA,ALLEN,2485 HOUX PARKWAY,LIMA OH 45804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HARVEST GRAIN COMPANY, LLC",222,HARROD,ALLEN,"P.O. BOX 101, 2648 N. NAPOLEON RD.",HARROD OH 45850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLAND FEED SERVICES, LLC",604,MINSTER,AUGLAIZE,"P.O. BOX 328, 426 W. MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLAND FEED SERVICES, LLC",5402,CELINA,MERCER,"P.O. BOX 328, 426 W. MARKET ST.",CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
