"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","7 MARTINEK GRAIN & BINS INC (ANNEX C)","GRAYSON"
"0319636","46538.0","00147092","HONEY GROVE GRAIN AND PEANUT INC","HONEY GROVE GRAIN AND PEANUT INC","","FRED","","FORE","","FRED   FORE","FRED   FORE","1 HONEY GROVE GRAIN & PEANUT INC","FANNIN"
"0319636","46538.0","00147092","HONEY GROVE GRAIN AND PEANUT INC","HONEY GROVE GRAIN AND PEANUT INC","","FRED","","FORE","","FRED   FORE","FRED   FORE","2 HONEY GROVE GRAIN & PEANUT INC","DELTA"
"0320013","46538.0","00147123","ABILENE AG SERVICE AND SUPPLY INC","ABILENE AG SERVICE AND SUPPLY INC","","LANNY","R","VINSON","","LANNY R VINSON","LANNY R VINSON","1 ABILENE AG SERVICE AND SUPPLY INC","TAYLOR"
"0318571","46538.0","00146371","FARMERS COOP GIN OF MALONE","FARMERS COOP GIN OF MALONE","","JOE","","HERD","","JOE  HERD","JOE  HERD","3 FARMERS COOPERATIVE GIN OF MALONE","HILL"
"0319731","46538.0","00356312","D AND M COMMUNITY GRAIN LLC","D AND M COMMUNITY GRAIN LC","","MICHAEL","D","MEYER","","MICHAEL D MEYER","MICHAEL D MEYER","3 D AND M COMMUNITY GRAIN","BELL"
"0319731","46538.0","00356312","D AND M COMMUNITY GRAIN LLC","D AND M COMMUNITY GRAIN LC","","MICHAEL","D","MEYER","","MICHAEL D MEYER","MICHAEL D MEYER","2 D AND M COMMUNITY GRAIN","FALLS"
"0319731","46538.0","00356312","D AND M COMMUNITY GRAIN LLC","D AND M COMMUNITY GRAIN LC","","MICHAEL","D","MEYER","","MICHAEL D MEYER","MICHAEL D MEYER","1 D AND M COMMUNITY GRAIN","BELL"
"0517115","46326.0","00394180","CHAFIN INVESTMENTS LTD","CHAFIN INVESTMENTS","","DAWN","E","COUFAL","","DAWN E COUFAL","DAWN E COUFAL","GRANGER FARM PRODUCTS","WILLIAMSON"
"0517115","46326.0","00394180","CHAFIN INVESTMENTS LTD","CHAFIN INVESTMENTS","","DAWN","E","COUFAL","","DAWN E COUFAL","DAWN E COUFAL","BARTLETT FARM PRODUCTS","BELL"
"0515397","46446.0","00392988","WALTON GRAIN LLC","","","GLORIA","J","WALTON","","GLORIA J WALTON","GLORIA J WALTON","WALTON GRAIN LLC","HILL"
"0497060","46326.0","00380542","POOLE PARTNERS LP","","","KEN","","CANTRELL","","KEN  CANTRELL","KEN  CANTRELL","POOLE PARTNERS LP","DALLAM"
"0622173","46538.0","00472779","TONY'S GRAIN LLC","","","DAMIAN","W","HELLMAN","","DAMIAN W HELLMAN","DAMIAN W HELLMAN","1 TONY'S GRAIN LLC","COOKE"
