State,County,City,Business Entity,Warehouse Name,License Type,License Status,[License Number],CCC Code,CCC Status,Functional Unit,Capacities,Year of Ingest Date,Month of Ingest Date,Day of Ingest Date
MN,"Goodhue, MN",PINE ISLAND,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,7,"2,634,000",2026,September,9
MN,"Goodhue, MN",WANAMINGO,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,6,"1,843,000",2026,September,9
MN,"Nicollet, MN",St Peter,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,15,"445,000",2026,September,9
MN,"Nicollet, MN",St. Peter,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,14,"1,164,000",2026,September,9
MN,"Olmsted, MN",EYOTA,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,11,"336,000",2026,September,9
MN,"Olmsted, MN",STEWARTVILLE,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,9,"4,266,000",2026,September,9
MN,"Olmsted, MN",VIOLA,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,12,"548,000",2026,September,9
MN,"Wabasha, MN",ELGIN,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,10,"2,885,000",2026,September,9
MN,"Wabasha, MN",LAKE CITY,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,5,"1,720,000",2026,September,9
MN,"Winona, MN",LEWISTON,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,8,"647,000",2026,September,9
ND,"Traill, ND",ALTON (HILLSBORO),"Alton Grain Terminal, LLC",ALTON GRAIN TERMINAL,Federal,I - Issued,[3-9570],[2-0506],Approved,1,"4,433,000",2026,September,9
MN,"Chippewa, MN",Montevideo,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,8,"7,127,000",2026,September,9
MN,"Lyon, MN",Cottonwood,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,4,"1,395,000",2026,September,9
MN,"Lyon, MN",Minneota,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,2,"575,000",2026,September,9
MN,"Lyon, MN",Taunton,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,7,"2,069,000",2026,September,9
MN,"Renville, MN",Sacred Heart,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,3,"4,950,000",2026,September,9
MN,"Yellow Medicine, MN",Echo,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,5,"1,234,000",2026,September,9
MN,"Yellow Medicine, MN",Hanley Falls,Farmers Co-operative Elevator Company,Farmers Co-operative Elevator Company,State,,[],[2-0514],Approved,1,"7,297,000",2026,September,9
