operator_rank,operator,operator_facilities_in_gap,branch,city,state,lat,lon,website
12,"Central Prairie Co-op",16,"YODER","Yoder","KS",37.9412,-97.8711,""
13,"Heritage Cooperative",15,"Ada","Ada","OH",40.7709,-83.8154,""
13,"Heritage Cooperative",15,"Arlington","Arlington","OH",40.8761,-83.6685,""
13,"Heritage Cooperative",15,"Cairo","Cairo","OH",40.8304,-84.0852,""
13,"Heritage Cooperative",15,"DeGraff","De Graff","OH",40.3058,-83.9153,""
13,"Heritage Cooperative",15,"Fletcher","Fletcher","OH",40.1445,-84.101,""
13,"Heritage Cooperative",15,"Kenton","Kenton","OH",40.6404,-83.6111,""
13,"Heritage Cooperative",15,"Marysville","Marysville","OH",40.2477,-83.3622,""
13,"Heritage Cooperative",15,"McCutchenville","McCutchenville","OH",40.9927,-83.2526,""
13,"Heritage Cooperative",15,"Mechanicsburg","Mechanicsburg","OH",40.0647,-83.5724,""
13,"Heritage Cooperative",15,"Nashport","Nashport","OH",40.0386,-82.0998,""
13,"Heritage Cooperative",15,"Richwood","Richwood","OH",40.437,-83.3136,""
13,"Heritage Cooperative",15,"Thackery","Springfield","OH",39.9271,-83.8132,""
13,"Heritage Cooperative",15,"Urbana","Urbana","OH",40.1066,-83.7671,""
13,"Heritage Cooperative",15,"Vanlue","Vanlue","OH",40.9583,-83.4971,""
13,"Heritage Cooperative",15,"West Liberty","West Liberty","OH",40.2625,-83.7528,""
14,"ALCIVIA",14,"BALDWIN","Baldwin","WI",44.9657,-92.3655,""
14,"ALCIVIA",14,"BELLEVILLE","Belleville","WI",42.8669,-89.5377,""
14,"ALCIVIA",14,"COTTAGE GROVE","Cottage Grove","WI",43.0784,-89.2017,""
